,restaurant_cuisine,restaurant_price_range,restaurant_aggregate_rating,restaurant_id,restaurant_name,restaurant_latitude,restaurant_longitude,restaurant_address
83,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
84,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
85,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
86,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
87,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
88,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
89,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
90,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
91,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
92,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
93,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
94,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
95,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
96,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
97,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
98,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
99,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
100,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
101,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
102,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
103,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
104,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
105,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
106,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
107,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
108,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
109,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
110,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
111,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
112,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
113,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
114,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
115,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
116,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
117,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
118,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
119,American,4,4.4,16767139,Gramercy Tavern,40.7387166667,-73.9883888889,42 E 20th Street 10003
